flow,history_flow,speed,history_speed,weather,weatherDeg,weatherDegScale
558,521.85,306.6666667,318.7888889,0,0,0
544,500.0666667,286.1666667,309.6055556,0,0,0
486,480.4,317.5,311.5222222,0,0,0
535,468.6,327.6666667,310.0666667,0,0,0
468,448.9666667,302.8333333,306.925,0,0,0
452,429.1333333,315.6666667,308.8888889,0,0,0
468,412.4333333,312.5,309.0388889,0,0,0
412,389.1,304.8333333,309.6833333,0,0,0
369,367.5666667,305.3333333,314.9444444,0,0,0
381,341.9833333,304.8333333,318.7527778,0,0,0
303,316.6,297.8333333,312.1,0,0,0
290,293.9333333,316,318.3388889,0,0,0
289,275.6333333,291.5,311.7777778,0,0,0
252,260.3333333,311.5,309.8805556,0,0,0
310,239.3,312.5,309.0277778,0,0,0
216,228.9166667,317.8333333,307.7777778,0,0,0
219,216.3,316.3333333,312.6333333,0,0,0
198,206.5666667,310,306.0555556,0,0,0
199,198.7666667,301.6666667,306.4111111,0,0,0
201,194.4,304.8333333,313.9805556,0,0,0
171,182.1833333,310.6666667,315.4305556,0,0,0
179,171.1,313,314.0555556,0,0,0
162,166.5,305.6666667,314.4777778,0,0,0
134,153.5333333,309.6666667,313.7916667,0,0,0
169,158.5944444,296,304.5740741,0,0,0
131,147.9388889,299.3333333,299.6898148,0,0,0
145,145.2,300.8333333,301.6222222,0,0,0
133,138.2333333,321,305.0944444,0,0,0
150,135.5,318.8333333,309.0055556,0,0,0
111,132.1,306.8333333,308.3555556,0,0,0
148,132.3,296.6666667,305.7333333,0,0,0
126,124.4,294.3333333,305.3833333,0,0,0
126,126.9666667,303.6666667,310.4555556,0,0,0
125,119.3833333,329.8333333,305.7722222,0,0,0
124,121.6333333,300.8333333,300.2277778,0,0,0
121,120.6166667,327.6666667,303.2138889,0,0,0
140,124.4,301.3333333,305.2833333,0,0,0
135,128.7833333,304.6666667,312.7611111,0,0,0
132,129,297.5,318.4611111,0,0,0
155,125.3166667,296.5,317.6861111,0,0,0
146,133.5,290,316.6,0,0,0
162,151.7,305.6666667,313.5833333,0,0,0
150,153.9166667,312.1666667,315.8833333,0,0,0
163,171.2333333,311.3333333,317.3777778,0,0,0
189,186.1,317.5,316.3833333,0,0,0
216,201.8333333,299.3333333,314.5555556,0,0,0
233,220.8666667,313.5,316.3944444,0,0,0
243,243.3833333,312.5,317.0055556,0,0,0
264,278.3,313,315.1972222,0,0,0
292,320.9666667,284.5,318.1055556,0,0,0
344,350.9333333,298.3333333,315.5416667,0,0,0
349,387.7,284.6666667,314.7388889,0,0,0
393,431.4,282.5,314.7,0,0,0
438,491.2,337.3333333,315.6,0,0,0
500,559.6333333,341.6666667,314.9277778,0,0,0
540,640.2166667,339.3333333,318.0166667,0,0,0
571,715.35,338.1666667,318.1777778,0,0,0
627,808,335.6666667,320.7222222,0,0,0
624,913.5666667,335.6666667,316.5777778,0,0,0
695,978.4666667,340.8333333,313.725,0,0,0
709,1039.433333,340.5,313.5111111,0,0,0
840,1084.116667,331.8333333,312.025,0,0,0
813,1096.933333,337.6666667,312.3333333,0,0,0
843,1120.533333,338.8333333,312.6722222,0,0,0
898,1142.966667,331.3333333,313.5611111,0,0,0
924,1168.883333,330,314.7083333,0,0,0
908,1174.366667,329,314.1777778,0,0,0
1004,1182.683333,335.3333333,311.7,0,0,0
1032,1209.5,327.1666667,313.3833333,0,0,0
983,1192.433333,327,314.6222222,0,0,0
1047,1208.616667,318.5,317.1194444,0,0,0
